concept_id,concept_code,vocabulary_id,concept_name
43533189,CH,HCPCS,0 percent impaired limited or restricted
43533250,CN,HCPCS,100 percent impaired limited or restricted
40664799,G8707,HCPCS,12-lead electrocardiogram (ecg) not performed reason not given
40664798,G8704,HCPCS,12-lead electrocardiogram (ecg) performed
40218804,U0002,HCPCS,2019-ncov coronavirus sars-cov-2/2019-ncov (covid-19) any technique multiple types or subtypes (includes all targets) non-cdc
704058,U0004,HCPCS,2019-nCoV Coronavirus SARS-CoV-2/2019-nCoV (COVID-19) any technique multiple types or subtypes (includes all targets) non-CDC making use of high throughput technologies as described by CMS-2020-01-R
40217535,K0082,HCPCS,22 nf non-sealed lead acid battery each
40217536,K0083,HCPCS,22 nf sealed lead acid battery each (e.g. gel cell absorbed glass mat)
953362,M1008,HCPCS,<50% of total number of a patient's outpatient ra encounters assessed
953363,M1007,HCPCS,>=50% of total number of a patient's outpatient ra encounters assessed
44781957,C9102,HCPCS,51 NA CHROMATE 50MCI
2721273,S5013,HCPCS,5% dextrose/0.45% normal saline with potassium chloride and magnesium sulfate 1000 ml
2721274,S5014,HCPCS,5% dextrose/0.45% normal saline with potassium chloride and magnesium sulfate 1500 ml
2721270,S5010,HCPCS,5% dextrose and 0.45% normal saline 1000 ml
2721271,S5011,HCPCS,5% dextrose in lactated ringer's 1000 ml
915798,J7121,HCPCS,5% dextrose in lactated ringers infusion up to 1000 cc
2718659,J7042,HCPCS,5% dextrose/normal saline (500 ml = 1 unit)
2718662,J7060,HCPCS,5% dextrose/water (500 ml = 1 unit)
2721272,S5012,HCPCS,5% dextrose with potassium chloride 1000 ml
44782330,C9216,HCPCS,ABARELIX INJECT SUSPENSION
40664750,G8821,HCPCS,Abdominal aortic aneurysm is not infarenal
2614866,A4462,HCPCS,ABDOMINAL DRESSING HOLDER
2617811,G8407,HCPCS,Abi measured and documented
2617912,G8513,HCPCS,ABI MEASURED AND DOCUMENTED
2617812,G8408,HCPCS,Abi measurement was not obtained
2617914,G8515,HCPCS,ABI MEASUREMENT WAS NOT OBTAINED
937616,C9747,HCPCS,Ablation of prostate transrectal high intensity focused ultrasound (hifu) including imaging guidance
2721147,S2262,HCPCS,ABORTION FOR MATERNAL INDICATION
2720326,L6955,HCPCS,Above elbow external power molded inner socket removable humeral shell internal locking elbow forearm otto bock or equal electrodes cables two batteries and one charger myoelectronic control of terminal device
2720325,L6950,HCPCS,Above elbow external power molded inner socket removable humeral shell internal locking elbow forearm otto bock or equal switch cables two batteries and one charger switch control of terminal device
2720181,L6250,HCPCS,Above elbow molded double wall socket internal locking elbow forearm
2720195,L6500,HCPCS,Above elbow molded socket endoskeletal system including soft prosthetic tissue shaping
2719983,L5230,HCPCS,Above knee for proximal femoral focal deficiency constant friction knee shin sach foot
2719992,L5321,HCPCS,Above knee molded socket open end sach foot endoskeletal system single axis knee
40217612,L5320,HCPCS,Above knee molded socket open end sach foot endoskeletal system single axis knee including soft cover and finishing
2719980,L5200,HCPCS,Above knee molded socket single axis constant friction knee shin sach foot
2719982,L5220,HCPCS,Above knee short prosthesis no knee joint ('stubbies') with articulated ankle/foot dynamically aligned each
2719981,L5210,HCPCS,Above knee short prosthesis no knee joint ('stubbies') with foot blocks no ankle joints each
40664838,G8749,HCPCS,Absence of signs of melanoma (tenderness jaundice localized neurologic signs such as weakness or any other sign suggesting systemic spread) or absence of symptoms of melanoma (cough dyspnea pain paresthesia or any other symptom suggesting the po...
40217625,A4204,HCPCS,Absorptive dressing (e.g. hydrocolloid) adhesive or non-adhesive each
40664627,K0744,HCPCS,Absorptive wound dressing for use with suction pump home model portable pad size 16 square inches or less
40664876,K0746,HCPCS,Absorptive wound dressing for use with suction pump home model portable pad size greater than 48 square inches
40664793,K0745,HCPCS,Absorptive wound dressing for use with suction pump home model portable pad size more than 16 square inches but less than or equal to 48 square inches
40217758,D6020,HCPCS,Abutment placement or substitution: endosteal implant
40663835,D6062,HCPCS,ABUTMENT SUPPORTED CAST METAL CROWN (HIGH NOBLE METAL)
40663453,D6064,HCPCS,ABUTMENT SUPPORTED CAST METAL CROWN (NOBLE METAL)
40659713,D6063,HCPCS,ABUTMENT SUPPORTED CAST METAL CROWN (PREDOMINANTLY BASE METAL)
40660365,D6094,HCPCS,ABUTMENT SUPPORTED CROWN - (TITANIUM)
40663834,D6058,HCPCS,ABUTMENT SUPPORTED PORCELAIN/CERAMIC CROWN
40661219,D6059,HCPCS,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (HIGH NOBLE METAL)
40659712,D6061,HCPCS,ABUTMENT SUPPORTED PORCELAIN FUSED TO METAL CROWN (NOBLE METAL)
