HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
A4453,Rec cath man pump enema repl,"Rectal catheter for use with the manual pump-operated enema system, replacement only"
C1831,Personalized interbody cage,"Personalized, anterior and lateral interbody cage (implantable)"
C9081,Idecabtagene car pos t,"Idecabtagene vicleucel, up to 460 million autologous anti-bcma car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose"
C9082,"Inj dostarlimab-gxly, 100 mg","Injection, dostarlimab-gxly, 100 mg"
C9083,"Inj, amivantamab-vmjw, 10 mg","Injection, amivantamab-vmjw, 10 mg"
C9084,"Loncastuximab-lpyl, 0.1 mg","Injection, loncastuximab tesirine-lpyl, 0.1 mg"
C9779,Esd endoscopy or colonoscopy,"Endoscopic submucosal dissection (esd), including endoscopy or colonoscopy, mucosal closure, when performed"
C9780,Insert cv cath inf & sup app,"Insertion of central venous catheter through central venous occlusion via inferior and superior approaches (e.g., inside-out technique), including imaging guidance"
J0699,"Inj, cefiderocol, 10 mg","Injection, cefiderocol, 10 mg"
J0741,"Inj, cabote rilpivir 2mg 3mg","Injection, cabotegravir and rilpivirine, 2mg/3mg"
J1305,"Inj, evinacumab-dgnb, 5mg","Injection, evinacumab-dgnb, 5mg"
J1426,"Injection, casimersen, 10 mg","Injection, casimersen, 10 mg"
J1445,Inj triferic avnu 0.1mg iron,"Injection, ferric pyrophosphate citrate solution (triferic avnu), 0.1 mg of iron"
J1448,"Injection, trilaciclib, 1mg","Injection, trilaciclib, 1mg"
J2406,"Injection, oritavancin 10 mg","Injection, oritavancin (kimyrsa), 10 mg"
J7294,Seg acet and eth estr yearly,"Segesterone acetate and ethinyl estradiol 0.15mg, 0.013mg per 24 hours; yearly vaginal system, each"
J7295,Eth estr and eton monthly,"Ethinyl estradiol and etonogestrel 0.015mg, 0.12mg per 24 hours; monthly vaginal ring, each"
J9247,"Inj, melphalan flufenami 1mg","Injection, melphalan flufenamide, 1mg"
J9318,Inj romidepsin non-lyo 0.1mg,"Injection, romidepsin, non-lyophilized, 0.1 mg"
J9319,Inj romidepsin lyophil 0.1mg,"Injection, romidepsin, lyophilized, 0.1 mg"
K1021,Exsuff belt incl all sup acc,"Exsufflation belt, includes all supplies and accessories"
K1022,Endoskel posit rotat unit,"Addition to lower extremity prosthesis, endoskeletal, knee disarticulation, above knee, hip disarticulation, positional rotation unit, any type"
K1023,Trans elec nerv periph nerv,"Distal transcutaneous electrical nerve stimulator, stimulates peripheral nerves of the upper arm"
K1024,Non pneum comp control cal,Non-pneumatic compression controller with sequential calibrated gradient pressure
K1025,Non pneum compress full arm,"Non-pneumatic sequential compression garment, full arm"
K1026,Mech allergen parti barrier,"Mechanical allergen particle barrier/inhalation filter, cream, nasal, topical"
K1027,Oral dev without fix mech,"Oral device/appliance used to reduce upper airway collapsibility, without fixed mechanical hinge, custom fabricated, includes fitting and adjustment"
M0240,Casiri and imdev repeat,"Intravenous infusion or subcutaneous injection, casirivimab and imdevimab includes infusion or injection, and post administration monitoring, subsequent repeat doses"
M0241,Casiri and imdev repeat hm,"Intravenous infusion or subcutaneous injection, casirivimab and imdevimab includes infusion or injection, and post administration monitoring in the home or residence; this includes a beneficiary's home that has been made provider-based to the hospital during the covid-19 public health emergency, subsequent repeat doses"
M0249,Adm tocilizu covid-19 1st,"Intravenous infusion, tocilizumab, for hospitalized adults and pediatric patients (2 years of age and older) with covid-19 who are receiving systemic corticosteroids and require supplemental oxygen, non-invasive or invasive mechanical ventilation, or extracorporeal membrane oxygenation (ecmo) only, includes infusion and post administration monitoring, first dose"
M0250,Adm tocilizu covid-19 2nd,"Intravenous infusion, tocilizumab, for hospitalized adults and pediatric patients (2 years of age and older) with covid-19 who are receiving systemic corticosteroids and require supplemental oxygen, non-invasive or invasive mechanical ventilation, or extracorporeal membrane oxygenation (ecmo) only, includes infusion and post administration monitoring, second dose"
P9025,Plasma cryo redu path each,"Plasma, cryoprecipitate reduced, pathogen reduced, each unit"
P9026,Cryo fib comp path redu each,"Cryoprecipitated fibrinogen complex, pathogen reduced, each unit"
Q0240,Casirivi and imdevi 600 mg,"Injection, casirivimab and imdevimab, 600 mg"
Q0244,Casirivi and imdevi 1200 mg,"Injection, casirivimab and imdevimab, 1200 mg"
Q0249,Tocilizumab for covid-19,"Injection, tocilizumab, for hospitalized adults and pediatric patients (2 years of age and older) with covid-19 who are receiving systemic corticosteroids and require  supplemental oxygen, non-invasive or invasive mechanical ventilation, or extracorporeal"
